CustomerID,Recency,Frequency,Monetary,Churn,Churn_Prob
12346,326,1,77183.6,1,0.9999999998807978
12347,2,7,4310.0,0,2.2613446944905458e-05
12348,75,4,1797.24,0,0.09868911517614534
12349,19,1,1757.55,0,0.0001598618477852891
12350,310,1,334.40000000000003,1,0.9999999999849052
12352,36,8,2506.04,0,0.0012816098961498878
12353,204,1,89.0,1,0.9999969347166402
12354,232,1,1079.4,1,0.9999998726730706
12355,214,1,459.4,1,0.9999990150159065
12356,23,3,2811.43,0,0.00025153250276642615
12357,33,1,6207.67,0,0.000640992755914773
12358,2,2,1168.06,0,2.369157034568036e-05
12359,58,4,6310.03,0,0.012084335940370275
12360,52,3,2662.06,0,0.0071526260539963304
12361,287,1,189.9,1,0.9999999997869571
12362,3,10,5226.2300000000005,0,2.5928594860772846e-05
12363,110,2,552.0,1,0.863613229847284
12364,8,4,1313.1,0,4.918316631768049e-05
12365,291,2,641.38,1,0.9999999998656903
12367,4,1,168.9,0,3.069602691760126e-05
12370,51,4,3541.94,0,0.006239281229523918
12371,45,2,1887.96,0,0.0032551536476259652
12372,72,3,1298.04,0,0.07206599869169873
12373,311,1,364.6,1,0.9999999999865299
12374,25,1,742.9300000000001,0,0.000336391693203466
12375,11,2,457.5,0,6.940602329403062e-05
12377,315,2,1628.12,1,0.9999999999911495
12378,130,1,4008.62,1,0.981205274240059
12379,82,2,852.24,0,0.1976213109560033
12380,22,4,2724.81,0,0.00023027462554574046
12381,5,5,1845.31,0,3.463651376491578e-05
12383,185,5,1850.56,1,0.9999725617831732
12384,29,2,585.27,0,0.0005502786697554111
12386,338,2,401.9,1,0.9999999999994151
12388,16,6,2780.6600000000003,0,0.00012023197656208048
12390,80,1,549.84,0,0.16255511198003936
12391,22,1,439.66,0,0.0002416700840158309
12393,72,4,1582.6,0,0.07261575915055395
12394,64,2,1272.48,0,0.02931039942251813
12395,19,12,3018.63,0,0.00019239757100906015
12397,36,2,2409.9,0,0.0011242086613882925
12398,46,1,1635.66,0,0.0036163144607919842
12399,119,4,1108.65,1,0.9479140595111599
12401,303,1,84.3,1,0.9999999999665683
12402,323,1,225.6,1,0.9999999999966518
12403,50,1,427.7,0,0.006086869098068359
12405,149,1,1710.39,1,0.9981020484292902
12406,22,2,3415.3,0,0.00021246299653774977
12407,50,5,1708.12,0,0.0062432807191272355
12408,33,5,2888.55,0,0.000830943191911858
12409,79,3,11072.67,0,0.09576429440049629
12410,309,2,693.33,1,0.999999999983133
12412,75,3,1226.88,0,0.09925631613752885
12413,67,3,758.1,0,0.04290348440001516
12414,217,3,562.4100000000001,1,0.9999993306763258
12415,24,21,124914.53,0,8.47163840346195e-07
12417,3,9,3649.1,0,2.7466552882280164e-05
12418,113,1,668.58,1,0.8969006538067253
12420,64,1,600.39,0,0.029640528196457336
12421,16,4,807.04,0,0.0001270457743372908
12422,96,3,803.5600000000001,1,0.5596440675788598
12423,1,8,1859.31,0,2.3350052617041277e-05
12424,163,2,1760.96,1,0.9996297539015817
12425,78,1,777.2,0,0.13218893896179001
12426,195,1,582.73,1,0.9999911182954024
12427,22,3,825.8000000000001,0,0.00024796035568723263
12428,26,9,7956.46,0,0.00031351921377480125
12429,9,4,3750.4,0,4.875755527650616e-05
12430,43,1,256.4,0,0.0027464766892560753
12431,36,15,6419.95,0,0.0012307796605343102
12432,43,5,5059.32,0,0.002355793681898013
12433,1,7,13375.87,0,1.2698911472738624e-05
12434,85,2,806.14,0,0.25871827943986875
12435,80,2,7829.89,0,0.12053755034075658
12436,100,1,509.01,1,0.6617282104504355
12437,2,18,4951.41,0,2.808901848592189e-05
12438,14,2,2906.85,0,8.661540179832752e-05
12441,367,1,173.55,1,0.9999999999999791
12442,3,1,172.06,0,2.7345786205151248e-05
12444,21,5,5005.46,0,0.00018687802291779017
12445,22,1,133.4,0,0.00024546740410208374
12446,58,1,1002.31,0,0.0147526687176409
12447,243,1,476.49,1,0.9999999653078643
12448,44,1,449.45,0,0.003051387491324458
12449,22,4,4067.29,0,0.0002150628007709412
12450,156,2,197.88,1,0.9992333170408157
12451,11,5,9035.52,0,4.80026423522216e-05
12452,17,2,430.5700000000001,0,0.00013890007265085957
12453,134,1,707.09,1,0.9898990046892655
12454,56,1,3528.34,0,0.010344334237391168
12455,73,6,2466.86,0,0.08080682293295195
12456,44,3,3181.04,0,0.002779144396691845
12457,66,7,2363.23,0,0.038740121741875126
